s_no,source_sheet,budget_head,name_of_scheme,sub_scheme_name,ftr_hq_name,shq_name,location,work_description,executive_agency,aa_es_reference,sd_amount_lakh,ts_date,tender_date,remarks,created_at,updated_at,acceptance_date,time_allowed_days,pdc_agreement,award_date,pdc_revised,completion_date_actual,firm_name,physical_progress_percent,expenditure_previous_fy,expenditure_current_fy,expenditure_total,expenditure_percent,current_status,id,delay_days,expected_progress,health_status,health_score,progress_category,risk_level,priority,status,efficiency_score,quality_score,forecast_completion,budget_variance,monthly_burn_rate,message,row
ENG-1761419859723-644,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,GSP,,C/O MI Room (10 bedded) at Kalanaour (DBN) under SHQ BSF Gurdaspur (PB),Dept,O/No. 123/D-III/OB-NRB/65(24)/2024-Engg/BSF/9799-9804  Dated 07.11.2024,187.74,,,TS for consultancy service accorded by  Comdt (Works) HQ SDG(WC) on 11/07/2025. Award letter issued on 14.08.2025 and consultancy  work in progress,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-645,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,ABR,,C/O 40 bedded Mahila Barrack at Abohar Campus of Bn HQ 55 Bn BSF Under SHQ BSF Abohar,Dept,O/No. 123/D-III/OB-NRB/65(30)/2024-Engg/BSF/10038-45  Dated 07.11.2024,232.28,2025-08-18,2025-09-18,"TS accorded by Comdt(W) on 19/08/2025. 
NIT approved by Comdt(W)on 16/09/2025.
Tender called on 19/09/2025 and due to be opned on 07/10/2025.",2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-646,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,ABR,,C/O 40 bedded Mahila Barrack at Bn HQ Campus Rampura  of Bn HQ 66 Bn BSF Under SHQ BSF Abohar,Dept,O/No. 123/D-III/OB-NRB/65(31)/2024-Engg/BSF/10029-37  Dated 07.11.2024,232.28,2025-08-18,2025-09-18,"TS accorded by Comdt(W) on 19/08/2025. 
NIT approved by Comdt(W)on 16/09/2025.
Tender called on 19/09/2025 and due to be opned on 07/10/2025.",2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-647,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,ABR,,C/O 40 bedded Mahila Barrack at Bn HQ Campus Jalalabad  of Bn HQ 160 Bn BSF Under SHQ BSF Abohar,Dept,O/No. 123/D-III/OB-NRB/65(32)/2024-Engg/BSF/10021-28  Dated 07.11.2024,232.28,2025-08-18,2025-09-18,"TS accorded by Comdt(W) on 19/08/2025. 
NIT approved by Comdt(W)on 16/09/2025.
Tender called on 19/09/2025 and due to be opned on 07/10/2025.",2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-648,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,ABR,,Construction of overhead water storage tank in r/o 55 Bn BSF under SHQ BSF Abohar,Dept,O/No. 123/D-III/OB-NRB/65(33)/2024-Engg/BSF/10013-20 Dated 07.11.2024,57.89,2025-08-19,2025-09-18,Tender called on 19/9/25 and due to be opned on 06/10/2025,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-649,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,ABR,,Construction of overhead water storage tank in r/o 160 Bn BSF under SHQ BSF Abohar,Dept,O/No. 123/D-III/OB-NRB/65(34)/2024-Engg/BSF/10006-12 Dated 07.11.2024,57.89,2025-08-19,2025-09-18,Tender called on 19/9/25 and due to be opned on 06/10/2025,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-650,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,ABR,,C/o Drill shed cum darbar shed at BSF Campus of 55 Bn BSF under SHQ BSF Abohar,Dept,O/No. 123/D-III/OB-NRB/65(35)/2024-Engg/BSF/9998-10005 Dated 07.11.2024,212.52,2025-08-19,2025-09-18,"TS accorded by Comdt(W) on 28/08/2025. 
NIT approved by Comdt(W)on 16/09/2025.
Tender called on 19/09/2025 and due to be opned on 07/10/2025.",2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-651,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,ABR,,C/o Drill shed cum darbar shed at BSF Campus of 66 Bn BSF under SHQ BSF Abohar,Dept,O/No. 123/D-III/OB-NRB/65(36)/2024-Engg/BSF/9991-97 Dated 07.11.2024,212.52,2025-08-19,2025-08-18,"TS accorded by Comdt(W) on 20/08/2025. 
NIT approved by Comdt(W)on 16/09/2025.
Tender called on 19/09/2025 and due to be opned on 07/10/2025.",2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-652,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,FZR,,C/O 21 suites SOS Mess at SHQ BSF Campus Ferozpur,Dept,O/No. 123/D-III/OB-NRB/65(37)/2024-Engg/BSF/9983-90 Dated 07.11.2024,418.45,,,"Consultancy services work awarded.
Soil testing done ; Preparation of dwg and BOQ under process
DE /BOQ alongwith vetted drawings awaited from sector",2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-653,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,FZR,,C/O drill shed cum darbar shed at Bn HQ Amarkot of 103 Bn BSF under SHQ Firozpur,Dept,O/No. 123/D-III/OB-NRB/65(38)/2024-Engg/BSF/9962-69 Dated 07.11.2024,227.93,,,"Consultancy services work awarded.
Soil testing done ; Preparation of dwg and BOQ under process
DE /BOQ alongwith vetted drawings awaited from sector ",2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-654,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,ABR,,Construction of 45 suites Sos Mess at CA Wala Campus of Bn HQ 160 Bn BSF under SHQ BSF Abohar,Dept,O/No. 123/D-III/OB-NRB/65(39)/2024-Engg/BSF/9954-61 Dated 07.11.2024,676.25,2025-09-10,2025-01-08,Tender called on 09/10/2025 and due to be opned on 22/10/2025.,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-655,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,ABR,,C/O 120 Men Jawan barrack at Bn HQ Campus Fazilka of 52 Bn BSF under SHQ BSSF Abohar,Dept,O/No. 123/D-III/OB-NRB/65(40)/2024-Engg/BSF/9939-46 Dated 07.11.2024,717.89,2025-08-19,2025-09-18,"TS accorded by Comdt(W) on 20/08/2025. 
NIT approved by Comdt(W)on 16/09/2025.
Tender called on 19/09/2025 and due to be opned on 07/10/2025.",2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-656,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,ARTY HQ,,C/O Gun Shed for 30 Nos 105 MM LFG Gun at Arty HQ BSF Campus Faridkot,Dept,O/No. 123/D-III/OB-NRB/65(25)/2024-Engg/BSF/9805-12 Dated 07.11.2024,345.91,,,"Consultancy services work awarded. Soil testing done ; Preparation of dwg and BOQ under process.
DE /BOQ alongwith vetted drawings awaited received from SHQ ",2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-657,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,ARTY HQ,,C/o Garrage for 24 Nos FAT(Field Arty Tractor) at Arty HQ BSF Campus Faridkot,Dept,O/No. 123/D-III/OB-NRB/65(26)/2024-Engg/BSF/10068-75 Dated 07.11.2024,151.82,,,"Consultancy services work awarded. Soil testing done ; Preparation of dwg and BOQ under process
DE /BOQ alongwith vetted drawings awaited received from SHQ ",2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-658,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,ARTY HQ,,C/O Magazine building with Security wall for ATS and guard room i/c Sanitary installation & water supply at BSF Campus Fazilka against authorisation of Arty HQ BSF Faridkot,Dept,O/No. 123/D-III/OB-NRB/65(27)/2024-Engg/BSF/10061-67 Dated 07.11.2024,242.68,,,Consultancy services work awarded. Soil testing done ; Preparation of dwg and BOQ under process,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-659,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,ARTY HQ,,C/o Guard room (02 Nos) with toilet & Bath at Arty HQ BSF Campus Faridkot,Dept,O/No. 123/D-III/OB-NRB/65(28)/2024-Engg/BSF/10053-60 Dated 07.11.2024,70.95,,,Consultancy work completed ; Revised BOQ under process for TS and NIT.,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-660,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,ABR,,Construction of Extension of Garage at BSF Campus Abohar under SHQ BSF Abohar,Dept,O/No. 123/D-III/OB-NRB/65(41)/2024-Engg/BSF/9946-53 Dated 07.11.2024,107.86,2025-08-19,,TS accorded by Comdt(W) on 20/08/2025,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-661,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Punjab,GSP,,C/o Prahari Grah; SO's Mess with 45 Suites and 40 Bedded Mahila Barrack; quarter Guard; Trademen Shop of 12 Bn BSF at BSF Campus; DBN (Shikar).,CPWD,O/No. 123/D-III/NRB(1)/2024-Engg/BSF/3028-37 Dated 21.06.2024,2093.48,,,Award letter will be issued after deposition of PG by Firm,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-662,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Rajasthan,SGNR,,C/o OR's Barrack (120 Men) including information & Recreational Centre (G+3) for 156 Bn Raisinghnagar under SHQ SGNR at Raisinghnagar,CPWD,FHQ O/No. 10086-93 dtd 18/.11.24,708.72,,,Detailed estimate under progress for T.S.,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-663,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Rajasthan,SGNR,,GO's mess with 07 suits at Dabla-I; Development and bulk services at Dabla-I,CPWD,FHQ O/No. 10117-25 dtd  08.11.24,366.48,,,Drawing being finalized,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-664,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Rajasthan,BKNR,,Development works for BSF KLP Choup at Kalighati Campuses jaipur (Raj) (SH: Civil & Electrical Development Work and Sewerage Treatement plant 100 KLD) of 39 Bn BSF under SHQ BSF Bikaner of Raj Ftr.,CPWD,O/No. 123/D-III/NRB(2)/2024-Engg/BSF/3038-46 Dated 21.06.2024,2471.17,*,*,TS Accorde by Comdt(W) and Draft NIT approved by Comdt(W) on 01/09/25,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,*,,,*,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-665,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Rajasthan,SGNR,,C/O 01 NO. 40 women Mahila Barrack for Bn HQ Srikaranpur 77 Bn BSF under SHQ BSF SGNR; Ftr HQ BSF Raj,Dept,FHQ O/No. 10400-06 dtd  12.11.24,247.88,,,TS Accorde by Comdt(W) and Draft NIT approved by Comdt(W) on 01/09/25,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-666,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Rajasthan,SGNR,,C/O 01 No 40 bedded Mahila barrack for BnHQ 7-A Chhoti; 48 Bn BSF under SHQ BSF SGNR; Ftr HQ BSF Raj.,Dept,FHQ O/No. 10419-24 dtd 12.11.24,247.92,,,Tender called and  opened on 12.08.2025,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-667,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Rajasthan,SGNR,,Construction of MT Garage at 3-A Chotti SHQ BSF SGNR under Ftr HQ BSF Raj,Dept,FHQ O/No. 10300-07 dtd 12.11.24,104.34,2025-08-19,2025-08-20,Tender called and  opened on 12.08.2025,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-668,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Rajasthan,JSMR(S),,C/O Mahila Barrack at 149 Bn BSF; Dabla-II under SHQ BSF Jaisalmer (South); Ftr HQ Raj.,Dept,FHQ O/No. 10441-46 dtd  12.11.24,263.99,,,2nd time tender/ quation called for soil testing and will be opened on 30.07.2025,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-669,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Rajasthan,JSMR(S),,C/O Magazine building at 149 Bn BSF Dabla-II under SHQ BSF Jaisalmer (S),Dept,FHQ O/No. 10283-90 dtd  12.11.24,118.52,2025-09-10,2025-07-29,3rd time tender/ quation called for soil testing and will be opened on 30.07.2025,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-670,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Rajasthan,JSMR(S),,C/O Mahila Barrack at 161 Bn (Now 173 Bn) BSF; Ramgarh-II under SHQ Jaisalmer (South) Ftr HQ Raj,Dept,FHQ O/No. 10385-93 dtd 12.11.2024,259.97,,,4th time tender/ quation called for soil testing and will be opened on 30.07.2025,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-671,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Rajasthan,JSMR(S),,C/O Magazine buildings at 161 Bn (Now 173 Bn) BSF; Ramgarh-II under SHQ BSF Jaisalmer (S).,Dept,FHQ O/No. 10493-99 dtd 12.11.2024,112.92,2025-09-10,,5th time tender/ quation called for soil testing and will be opened on 30.07.2025,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-672,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Rajasthan,JSMR(S),,C/O Magazine building Arty wing at 56 Bn (Now 154 Bn) Sam road under SHQ BSF Jaisalmer (S),Dept,FHQ O/No. 10407-12 dtd 12.11.2024,112.72,,,Soil testing / structure drawing and detailed estimate under prepration,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-673,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Rajasthan,BKNR,,Construction of 40 bedded Mahila barrack at 114 Bn BSF Khajuwala under SHQ BSF Bikaner,Dept,FHQ O/No. 10413-18 dtd 12.11.2024,248.18,,,TS Accorde by Comdt(W) and Draft NIT approved by Comdt(W) n 19/09/25,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-674,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Rajasthan,BKNR,,Construction of 40 bedded Mahila barrack at 127 Bn Satrana under SHQ BSF Bikaner,Dept,FHQ O/No. 10425-32 dtd 12.11.2024,238.53,,,TS Accorde by Comdt(W) and Draft NIT approved by Comdt(W) n 19/09/25,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-675,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Rajasthan,JSMR(N),,Construction of magazine buidling at 46 Bn(Now 92 Bn) BSF Baramsar under SHQ BSF JSMR (N),Dept,FHQ O/No. 1029-99 dtd 12.11.24,118.99,2025-09-10,2025-09-29,Soil testing,2025-10-25T19:17:42.214Z,2025-10-25T19:17:42.214Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-676,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Gujarat,BHUJ,,Development works and bulk services at Bn HQ BSF KLP Sedata(Marine Bn) 102 Bn BSF under SHQ BSF Bhuj(SH: C/o Boundary wall 2465 Mtr along with security ligh; sanitry post 2 Nos & 01 No O.H. tank 1.20 Lac liter capacity),Dept,O/No. 10553-60 dated 12.11.2024,615.84,,,"Soil testing done & Structural design & drawing under preparation.
",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-677,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Gujarat,GNR,,Construction of 40 bedded women barrack at 53 Bn BSF; Gandhinagar Campus; Gujrat.,Dept,O/No. 123/D-III/OB-NRB/65(62)2024-Engg/BSF/10541-46 Dated 12.12.2024,335.45,,,"Soil testing done and Architectural drawing prepared. The same was submitted to HQr SDG (WC) (Arch Branch) for vetting on 07/08/2025; but same has been returned by Comdt (Works) with the direction to submit along with structural drawing; TS estimate and NIT in one go. Case telephonically discussed with Comdt (Works) by DC (Works) and as per discussion Arch drawings be submitted to Arch Branch; HQ SDG (WC) for approval/ vetting before structural drawings. Arch drawings have been submitted to HQ SDG (WC). However; firm has been directed to prepare structural drawings simultaneously.
",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-678,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Gujarat,BHUJ,,C/o 40 bedded Mahila barrack including water supply; Sanitary instalation; Drainage; Developlent and electrical works for 18 bn  BSF under SHQ BSF Bhuj,Dept,O/No. 10534-40 dtd 12.11.2024,266.11,,,"Soil testing done & Structural design & drawing under preparation.
",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-679,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Gujarat,BHUJ,,C/o 40 bedded Mahila barrack including water supply; Sanitary instalation; Drainage; Developlent and electrical works for 59 bn  BSF under SHQ BSF Bhuj,Dept,O/No. 10527-33 dtd 12.11.2024,266.11,,,"Soil testing done & Structural design & drawing under preparation.
",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-680,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Gujarat,BHUJ,,C/o 40 bedded Mahila barrack including water supply; Sanitary instalation; Drainage; Developlent and electrical works for 03 bn  BSF under SHQ BSF Bhuj,Dept,O/No. 10521-26 dtd 12.11.2024,266.11,,,"Soil testing done & Structural design & drawing under preparation.
",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-681,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Gujarat,BHUJ,,C/O 120 Men Jawan Barrack building including water supply; Sanitary installation; Drainage; Development and electrical works for 1011 Arty Regt at Campus-I under SHQ BSF Bhuj,Dept,O/No. 10515-20 dtd 12.11.2024,795.25,,,"Soil testing done & Structural design & drawing under preparation.
",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-682,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Gujarat,BHUJ,,C/O MT Complex with sentry post; hard standing; washing ramp; surrounding boundary; entrance gates and training shed(385 SQM) at SHQ BSF Bhuj,Dept,O/No. 10514-20 dtd 12.11.2024,666.93,,,"Soil testing done & Structural design & drawing under preparation.
",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-683,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Gujarat,GNR,,C/O ADM block at Bn HQ Ambassan under SHQ  Gandhinagar,Dept,O/No. 10572-78 dtd 12.11.2024,440.1,,,"a) SBT (Soil Bearing Test)  has been completed by firm  on 21.06.2025.
b) Observation made by SPL DG (WC) Chandigarh on dated 18.09.2025  on Architectural drawing and same returned to firm on 27/09/2025 for rectification.
c ) Firm has submitted Structural drawing to SVNIT; Surat for vetting and approval awaited.


",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-684,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Gujarat,GNR,,C/O GO's mess at Bn HQ Ambassan under SHQ Gandhinagar,Dept,O/No. 10561-67 dtd 12.11.2024,332.04,,,"a) SBT (Soil Bearing Test)  has been completed by firm  on 21.06.2025.
b) Observation made by SPL DG (WC) Chandigarh on dated 18.09.2025  on Architectural drawing and same returned to firm on 27/09/2025 for rectification.
c ) Firm has submitted Structural drawing to SVNIT; Surat for vetting and approval awaited.


",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-685,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Gujarat,GNR,,C/o MI Room (10 bedded) at Bn HQ Ambassan under SHQ GNR,Dept,O/No. 10547-52 dtd 12.11.2024,202.89,,,"a) SBT (Soil Bearing Test)  has been completed by firm  on 21.06.2025.
b) Observation made by SPL DG (WC) Chandigarh on dated 18.09.2025  on Architectural drawing and same returned to firm on 27/09/2025 for rectification.
c ) Firm has submitted Structural drawing to SVNIT; Surat for vetting and approval awaited.


",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-686,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Gujarat,BMR,,C/O Go's mess with 07 suits at BSF Campus-I; Nehru Nagar; Barmer (Rajasthan) under SHQ BSF Barmer,Dept,O/No. 10208-15 dtd 12.11.2024,403.2,,,"Soil testing done & Structural design & drawing under preparation.
",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-687,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Gujarat,GNR,,C/O of Guard Room; Accommodation for Gun for Arty and explosive stores house for arty at Suigam for BSF at Dantiwara under SHQ BSF Gandhinagar (Gujarat),CPWD,O/No.-10208-15 dtd 12.11.2024,1644.5,,,"Comment/recommendation of Ftr IG;Guj on conceptual plan forwarded  to HQ SDG (WC)  Chd. Work has recently been awarded 
CPWD demanded Rs. 8.22 Cr. from FHQ fund to the tune of Rs. 3.00 Cr. Alloted in favour of CPWD Gandhinagar & LOA issued on 16.09.2025.. Work awarded by CPWD.
",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-688,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,Gujarat,BMR,,C/O Bounday wall for BSF Campus-III; Magra under SHQ BSF Barmer along with Gates; Guard room & Sentry post.,CPWD,10108-15 dtd 08.11.24,937.95,,,"CPWD submitted drawing of boundary wall. Same has been submitted to HQ SDG (WC) for approval and same has been further forwarded to FHQ on 13.06.2025.
",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-689,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,STC K/CAMP,K/CAMP,,Construction of Non-residential building at STC BSF Kharkan Camp Hohiarpur (SH:C/O Provisioning complex),Dept,O/No. 123/D-III/NRB/65(128)/2024-Engg/BSF/10507-13 Dated 12.11.2024,369.49,,,Tender called for consultency services  i.e. soil investigatio;strcutrual designe and preapration of detailed estimate on 06/10/2025.,2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-690,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,STC U/PUR,U/PUR,Udhampur,C/O 01 No. 26 suites SO's Mess at STC BSF Udhampur,Dept,FHQ O/No 10364-70 dtd 12/11/2024,507.44,2025-09-14,18/09/2025,"a) Soil testing completed. 
b)TS for main work accorded by Comdt(W) on 15/09/2025.
c) Draft NIT approved by  Comdt (W) on 16/09/2025. 
d) Tech bid opned on 01/10/2025 and under process.",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-691,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,STC KMR,KMR,,Construction of Magazine building at BSF Campus Humhama for STC BSF KMR,Dept,O/No. 9655-61 dtd 07/11/2024,104.33,2025-09-18,2025-10-03,Tender called on 04/10/2025  and due to opne on 16/10/2025,2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,2.21,2.21,2.12,,,,,,,,,,,,,,,,,
ENG-1761419859723-692,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,STC KMR,KMR,,Construction of training complex at BSF Campus Humhama for STC BSF Kashmir (SH;C/O Assembly hall),Dept,O/No. 966269 dtd 07/11/2024,639.95,2025-10-08,2025-10-09,"TS of main work accorded by Comdt(W) on 09/10/2025. NIT also approved by comdt(W) on 09/10/2025
Tender called and due to open on 25/10/2025",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,2.21,2.21,0.35,,,,,,,,,,,,,,,,,
