s_no,source_sheet,budget_head,name_of_scheme,sub_scheme_name,ftr_hq_name,shq_name,location,work_description,executive_agency,aa_es_reference,sd_amount_lakh,ts_date,tender_date,acceptance_date,award_date,time_allowed_days,pdc_agreement,pdc_revised,firm_name,physical_progress_percent,expenditure_previous_fy,expenditure_current_fy,expenditure_total,expenditure_percent,remarks,created_at,updated_at,completion_date_actual,current_status
ENG-1759510506319-815,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Gujarat,BHUJ,,C/O Toilet near officer mess at BOP Koteshwar of 18 Bn BSF under SHQ BSF Bhuj,Dept,ENGG/ BSF/ BHUJ/ ES/2024/2164-69 DATED 14.03.2024,2.27,14.03.24,19.03.2024,30.04.2024,13.05.2024,,08.08.24,15.10.24,M/S KANHAIYA LAL PANDEY,100,,2.26,2.26,0,work completed,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,,
ENG-1759510506319-816,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Gujarat,BHUJ,,C/O Swachhata Ghar at BOP 1131 of 59 Bn BSF under SHQ BSF Bhuj,Dept,MHA 27012/61/2023/PF-V/3658894 DTD 30/10/2023,15.22,,,,,,,,,,,,0,,7th time tender called to be opened on 06.06.25.,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,,
ENG-1759510506319-817,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Gujarat,BHUJ,,Repair and maintenacne & Cleaning of Sewer line at 18 Bn BSF campus-I under SHQ BSF Bhuj,Dept,engg/sanc-FTR HQ G8uj/2024/854-57 dtd 28.03.2024,9.98,12.04.24,19.03.24,20.06.2024,05.07.2024,,10.03.24,,M/S KANHAIYA LAL PANDEY,100,,9.49,9.49,0,Work completed,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,,
ENG-1759510506319-818,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Gujarat,BHUJ,,Repair and maintenance of 03 Nos UG Sump of BOP Sindal; Bajrang and Rishpal under 74 Bn BSF of SHQ BSF Bhuj,Dept,MHA 27012/61/2023/PF-V/3658894 DTD 30/10/2023,9.5,05.08.24,02.01.25,*,19.02.25,,25.05.25,,,0,,,0,,Work awarded and same will be started soon ,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,,
ENG-1759510506319-819,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Gujarat,BHUJ,,Upgradation of toilet & bath of residential Qtrs T-II 16 Nos [25 to 40] at 18 bn BSF campus-I under SHQBSF Bhuj,Dept,engg/sanc-FTR HQ G8uj/2024/858-61 dtd 28.03.2024,9.98,12.04.24,13.05.24,20.06.2024,05.07.2024,,10.03.2024,,M/S KANHAIYA LAL PANDEY,100,,5.6,5.6,0,work completed,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,,
ENG-1759510506319-820,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Gujarat,GNR,,Disposal of sludge/solid wast from existing septic tank chamber to STP behind nearby Qtr of 123 bn BSF Dantiwada under SHQ BSF Gandhinagar,Dept,Ftr HQ Guj O/No. 285-91 dtd 07.02.2024,12.81,23.02.24,27.03.24,31.03.24,20.06.24,,14.10.24,,M/S Tanishq Engineers ,100,,,0,0,Work Completed and final bill under progress.,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,,
ENG-1759510506319-821,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Gujarat,GNR,,Disposal of liquid sludge through deep sewer line to STP of 123 Bn BSF Dantiwada under SHq BSF Gandhiangar,Dept,Ftr HQ Guj O/No. 279-84 dtd 07.02.2024,10.68,23.02.24,27.03.24,31.03.24,20.06.24,,14.10.24,,M/S Tanishq Engineers ,100,,0,0,0,Work Completed and final bill under progress.,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,,
ENG-1759510506319-822,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Gujarat,GNR,,Providing and laying pipe line for treated water from STP to various area including sump at 123 bn BSF Dantiwada under SHQ BSF Gandhiangar,Dept,HQ Spl DG (WC) O/No. 993-97 dtd 28.02.2024 ,16.04,24.04.24,29.05.24,24.07.24,12.08.24,,12.02.25,,,20,,,0,0,Work in progres,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,,
ENG-1759510506319-823,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC K/CAMP,K/CAMP,,Providing and fixing C.I cover for manholes in various places at STC BSF Kharkan Camp,Dept,10476-78 dtd 18 Nov 2023,0.233,336-40 dtd 09.01.2024,10.01.2024,,,,,,,,,,,,Re-Tender called ,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,,
ENG-1759510506319-824,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC K/CAMP,K/CAMP,,Replacement of exinting damage sewer lines near Type-I old residential buildings at STC BSF Kharkan Camp,Dept,14670-72 dtd 18 Nov 2023,2.9941,331-35 dtd 09.01.2024,10.01.2024,01.02.24,16.02.24,,22.03.24,,M/S shree Salasar infraprojects; Hoshiarpur,100,2.56,0,2.56,85.5,work completed Final Bill Paid to Firm  ,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,22.03.24,
ENG-1759510506319-825,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC K/CAMP,K/CAMP,,C/O toilet block near parade ground at STC BSF Kharkan Camp ,Dept,10481-83 dtd 21.11.2023,6.5,341-45 dtd 09.01.2024,10.01.2024,01.02.24,15.02.24,,22.03.24,30.04.2024,M/S Harish Bedi; Hoshiarpur,100,6.86,0,6.86,105.54,work completed Final Bill Paid to Firm  ,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,22.03.24,
ENG-1759510506319-826,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC K/CAMP,K/CAMP,,C/O BCL Block near B-Gate at STC BSF Kharkan Camp Hoshiarpur (SH: CO septic tank & water supply line),Dept,10488-92 dtd 21.11.2023,7.01611,75 dtd 12.02.2024,20.03.24,12.04.2024,01.05.2024,,18.08.2024,30.09.24,M/S Krishna Kr. Kaushik; Jalandhar,100,3.11,0,3.11,44.33,Work Completed final bill under preparation ,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,,
ENG-1759510506319-827,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC K/CAMP,K/CAMP,,Renovation of BCL block of Guard room at gate no.01 at STC BSF Kharkan Camp.,Dept,10493-96 dtd 21.11.2023,1.53466,11238-42 dtd 16.12.2023,22.12.2023,01.01.24,01.01.24,,30.01.24,,M/S Vikram Sachdeva,100,1.54,0,1.54,100.35,work completed Final Bill Paid to Firm  ,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,30.01.24,
ENG-1759510506319-828,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC K/CAMP,K/CAMP,,Renovation of BCL block in Quarter guard at STC BSF Kharkan Camp.,Dept,10475-80 dtd 21.1.2023,1.25,11243-46 dtd 16.12.2023,22.12.2023,01.01.24,01.01.24,,30.01.24,,M/S Vikram Sachdeva,100,1.37,0,1.37,109.6,work completed Final Bill Paid to Firm  ,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,30.01.24,
ENG-1759510506319-829,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC K/CAMP,K/CAMP,,C/O toilet block in canteen complex at STC BSF Kharkan Camp ,Dept,2637-41 dtd 13.03.2024,4.93134,2642-48 13.03.2024,01.05.2024,03.05.24,04.05.24,,06.09.24,,M/S Harish Bedi; Hoshiarpur,100,5.41,0,5.41,109.71,work completed Final Bill Paid to Firm  ,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,05.09.24,
ENG-1759510506319-830,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC K/CAMP,K/CAMP,,Supplying; Installation testing and commissioning of tractor mounted leaf collection machine at STC BSF Kharkan Camp,Dept,1722-27 dtd 16.02.2024,2.5,1734-39 dtd 16.02.2024,,,,,,,,,,,,,Under Codal Formalities ,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.392Z,,
ENG-1759510506319-831,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC K/CAMP,K/CAMP,,Renovation of 02 nos common toilet in officer institute at STC BSF Kharkan Camp,Dept,,2.92636,,,,,,,,,,,,,,proposal sent to FHQ on dated 29.02.2024 for change of work name.,2025-10-03T16:55:06.392Z,2025-10-03T16:55:06.393Z,,
ENG-1759510506319-832,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC K/CAMP,K/CAMP,,Contruction of Rain water harvesting near C-Coy area at STC BSF Kharkan Camp,Dept,1716-21 dtd 16.02.2024,4.80518,1728-33 dtd 16.02.2024,18.09.24,16.10.24,18.11.24,,20.03.25,,,10,,,,,work in progress,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,,
ENG-1759510506319-833,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC K/CAMP,K/CAMP,,Renovation of toilet block in PW living area at STC BSF Kharkan Camp,Dept,2790-94 dtd 18.03.2024,3.9983,3289-91 dtd 04.04.2024,04.04.2024,13.04.2024,13.04.2024,,18.07.24,,M/S Harish Bedi; Hoshiarpur,100,4.37,0,4.37,109.3,work completed Final Bill Paid to Firm  ,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,18.07.24,
ENG-1759510506319-834,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC U/PUR ,U/PUR ,,Construction of Urinal point (03 Nos.) cum toilet (01 No.) at the back side of parede ground.,Dept,STC Udhampur O/No. 22749-53 dtd 08-12-2023,6.16,*,09.09.23,20.10.23,06.11.23,,27.11.23,,M/s Ashok Jaswal,100,0,5.64,5.64,96.75,Work Completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,27.11.23,
ENG-1759510506319-835,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC U/PUR ,U/PUR ,,Construction of 01 Nos Bathroom & 02 Nos. toilet for SO's at Juganoo top of STC BSF Udhampur.,Dept,STC Udhampur O/No. 22732-33 dtd 07-12-2023,6.48,*,30.01.24,20.02.24,23.02.24,,23.02.24,,M/s Joginder Singh,100,0,7.03,7.03,108.49,Work Completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,23.02.24,
ENG-1759510506319-836,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC U/PUR ,U/PUR ,,Renovation/Upgradation of toilet block of D-Coy at STC BSF Udhampur.,Dept,STC Udhampur O/No. 22730-31 dtd 07-12-2023,9.91,*,30.01.24,02.03.24,05.03.24,,09.03.24,,M/s Ashok Jaswal,100,0,10.01,10.01,101.01,Work Completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,09.03.24,
ENG-1759510506319-837,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC U/PUR ,U/PUR ,,Repair and maintenance of toilet block (08 Nos.) at back side of Rockey hostel and 01 No. toilet near Petrol pump at STC BSF Udhampur.,Dept,STC Udhampur O/No. 22728-29 dtd 08-12-2023,2.31,*,30.01.24,02.03.24,04.03.24,,04.03.24,,M/s Shashi Paul,100,2.51,0,2.51,100,Work Completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,04.03.24,
ENG-1759510506319-838,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,STC U/PUR ,U/PUR ,,Supplying of foils and dense brus cutter machine at BSF Campus STC BSF Udhampur.,Dept,STC Udhampur O/No. 66-68 dtd 01-01-2024,2.76,*,12.06.24,12.06.24,07.07.24,,16.07.24,,Procurement through GeM,100,2.76,2.76,5.52,100,Work Completed. ,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,16.07.24,
ENG-1759510506319-839,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,HQ SDG(WC),WC CHD,,Repair/replacement of flat copper cable for 35 HP and 25 HP submersible pump installed in existing borewell at Bn HQ Lakhnaur of 148 Bn BSF under HQ SDG (WC) BSF Chandigarh,Dept,No. 36794-97 dtd 27/12/23,3.4,2024-01-24,2024-03-07,2024-03-17,01.04.24,90,2024-06-26,,M/s V K Contractor Chandigarh ,100,0,3.32,3.32,97.65,Work completed ,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,2024-06-24,
ENG-1759510506319-840,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,HQ SDG(WC),WC CHD,,Procurement of portable water purification system with inbuilt water cooler at HQ SDG (WC) BSF Chandigarh,Dept,No. 849-51 dtd 09/01/24,1.77,2024-06-02,2024-06-20,2024-06-20,2024-06-20,15,2024-07-05,,M/s Devangi Enterpricess Gujarat ,100,0,1.68,1.68,94.92,Work completed ,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,2024-06-29,
ENG-1759510506319-841,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,HQ SDG(WC),WC CHD,,Replacement of RCC water storage tanks on roofs of Type-I/136 Qtrs at BSF Campus Lakhnaur under HQ SDG BSF (WC) Chandigarh,Dept,No. 36786-89 dtd 27/12/23,24.79,2024-01-11,2024-02-13,2024-06-25,2024-04-07,180,2024-10-03,,M/s Himanshu Sharma; Delhi,100,0,19.65,19.65,79.27,Work completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,2024-10-27,
ENG-1759510506319-842,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,HQ SDG(WC),WC CHD,,Repair maintenance and clearing of sewer line at Bn HQ Lakhnaur of 148 Bn BSF under HQ SDG BSF (WC) Chandigarh,Dept,No. 36798-801 dtd 27/12/23,14.97,2024-01-11,2024-02-13,2024-06-25,2024-04-07,180,2024-10-04,,M/s Himanshu Sharma; Delhi,100,0,7.92,7.92,52.91,Work completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,2025-01-02,
ENG-1759510506319-843,SAP 2022-23,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,HQ SDG(WC),WC CHD,,Cleaning of open surface drain; water storage tank and over head RCC tank at Bn HQ Lakhnaur of 148 Bn BSF under HQ SDG (WC) BSF Chandigarh,Dept,No. 36790-93 dtd 27/12/23,6.76,2024-01-11,2024-03-18,2024-04-28,2024-05-13,210,2024-09-07,,Ms/ Dalip Kumar Chandigarh ,100,0,6.56,6.56,97.04,Work completed ,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,2025-04-29,
ENG-1759510506319-844,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,FTR KMR,,C/O Toilet block behind officer’s mess for use of Security Coy at BSF Campus Humhama under Ftr HQ BSF Kashmir ,Dept,3416-19 dated 15/11/2023,4.82,41 dated 20/11/2023,02.12.2023,29.01.24,09.02.24,,18.05.24,,Umar Rashid Daga,100,4.21,0,4.21,87.34,Work completed ,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,30.07.24,
ENG-1759510506319-845,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,FTR KMR,,Procurement of material for maintenance of existing sanitary infrastructure at BSF Campus Humhama under Ftr HQ Kashmir  ,Dept,3420-23 dated 15/11/2023,4.99,42 dated 20/11/2023,28.11.2023,27.01.24,27.01.24,,20.02.24,,M/s Mohammad Akabar Bhat,100,4.94,0,4.94,99,"Supply  completed.
(Through GeM)",2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,20/02/2024,
ENG-1759510506319-846,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,FTR KMR,,Replacement of old MS water storage tank for 64 Nos residential quarters by PVC water storage tank at BSF Campus Humhama (500 Ltr Capacity)  ,Dept,3430-33 dated 15/11/2023,11.82,39 dated 20/11/2023,23.11.2023,15.01.24,21.01.24,,24.04.2024,,Gulam Nabi Rather,100,11.05,0,11.05,93.49,Work completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,22.04.24,
ENG-1759510506319-847,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,FTR KMR,,Renovation/Up-gradation of toilets in 03 Nos suites of Unit SO’s mess  at BSF Campus Humhama  ,Dept,3424-29 dated 15/11/2023,4.7,40 dated 20/11/2023,02.12.2023,29.01.24,08.02.24,,17.05.24,,Mohmmad Akbar Bhat,100,3.78,0,3.78,80.43,Work completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,06.05.24,
ENG-1759510506319-848,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,SGR,,C/O Toilet block (2 Seated) at security coy area of 104 Bn BSF at Panthachowk location under SHQ BSF Srinagar,Dept,3365-69 dated 15/11/2023,4.76,20 dated 20/11/2023,13.12.2023,09.01.24,13.01.24,,19.03.2024,,M/S Umar Rasid Dagga,100,4.78,0,4.78,100.42,Work completed ,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,15.03.24,
ENG-1759510506319-849,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,SGR,,Procurement of mobile container for solid waste at public place of Panthachowk location under SHQ BSF Srinagar ,Dept,3361-64 dated 15/11/2023,4.96,21 dated 20/11/2023,10.01.24,15.03.24,15.03.24,,23.03.24,,M/S Umar Rashid Dagga; Hajpora,100,4.85,0,4.85,97.78,Supply completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,23.03.24,
ENG-1759510506319-850,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,SGR,,Procurement of material for maintenance of existing sanitary infrastructure at Panthachowk campus under SHQ BSF Srinagar ,Dept,3357-60 dated 15/11/2023,4.98,22 dated 20/11/2023,10.01.24,15.03.24,15.03.24,,23.03.24,,M/S Umar Rashid Dagga; Hajpora,100,3.02,0,3.02,60.64,Supply completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,23.03.24,
ENG-1759510506319-851,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,SGR,,Up-gradation of existing water supply line of Chinar officers Mess & Type-V Qtrs No.4; replacement of damaged MS Tank of Type-II Qtr 161 to 176 and replacement of damaged sluice value of main line of Panthachowk campus under SHQ BSF Srinagar  ,Dept,3370-73 dated 15/11/2023,9.68,43 dated 20/11/2023,23.12.2023,16.01.2024,30.01.24,,09.02.24,15.10.24,Mohmmad Akbar Bhat,100,0,3.85,3.85,39.77,Work completed.  Final bill under preparation. ,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,,
ENG-1759510506319-852,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,SGR,,Renovation/up-gradation of toilet & bath block of convoy ground of Panthachowk location under SHQ BSF Srinagar  ,Dept,3374-77 dated 15/11/2023,4.79,19 dated 20/11/2023,24/11/2023,29.12.2023,29.12.2023,,29.04.2024,,M/S Faruaq Ahamad,100,3.85,0,3.85,80.38,Work completed,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,15.03.24,
ENG-1759510506319-853,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,KUP,,C/O Septic tank near Gen Room of 27 Bn BSF under SHQ BSF Kupwara ,Dept,3378-82 dated 15/11/2023,2.54,159 dated 20/11/2023,20/11/2023,12.01.24,25.01.24,,04.05.24,,M/S Nasser Ahamad,100,2.45,0,2.45,96.46,Work completed,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,03.08.24,
ENG-1759510506319-854,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,KUP,,Renewing of sewerage line of SO’s toilet at SHQ BSF Kupwara ,Dept,3383-86 dated 15/11/2023,2.76,158 dated 20/11/2023,14/12/2023,12.01.24,30.01.24,,14.04.24,,M/s Ishfaq Ahmed,100,2.81,0,2.81,101.81,work completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,04.09.24,
ENG-1759510506319-855,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,KUP,,Procurement of HDPE/Stainless steel dustbin for 27 Bn BSF (Now 89 Bn BSF) under SHQ KUP  ,Dept, 3387-91 dated 15/11/2023,1.25,162 dated 03/01/2024,07.06.24,08.06.24,08.06.2024,,23.06.24,,M/s Baber Enterprise,100,1.24,0,1.24,99.2,Supply completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,13.06.24,
ENG-1759510506319-856,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,KUP,,Procurement of HDPE/Stainless steel dustbin for 140 Bn (Now 127 Bn) under SHQ KUP  ,Dept, 3392-96 dated 15/11/2023,1.25,164 dated 03/01/2024,21.05.24,23.05.24,23.05.24,,07.06.24,,M/s Shams Enterprise,100,1.24,0,1.24,99.2,Supply completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,07.06.24,
ENG-1759510506319-857,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,KUP,,Procurement of HDPE/Stainless steel dustbin for 97 Bn BSF under SHQ KUP  ,Dept, 3397-401 dated 15/11/2023,1.25,163 dated 03/01/2024,10.06.24,10.06.24,19.06.2024,,02.07.24,,M/s Baber Enterprise,100,1.24,0,1.24,99.2,Supply completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,18.06.24,
ENG-1759510506319-858,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,KUP,,Procurement of HDPE/Stainless steel dustbin for SHQ BSF Kupwara  ,Dept, 3402-05 dated 15/11/2023,1.25,165 dated 03/01/2024,21.05.24,21.05.24,23.05.24,,07.06.24,,M/s Shams Enterprise,100,1.24,0,1.24,99.2,Supply completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,07.06.24,
ENG-1759510506319-859,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,KUP,,Providing and laying water supply pipe line for BSF Campus at SHQ BSF Kupwara  ,Dept, 3462-65 dated 15/11/2023,10.61,44 dated 20/11/2023,10.01.2024,15.02.2024,19.02.2024,,30.04.24,,M/s AB Ahmed Mir,100,10,0,10,94.25,Work completed,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,18.09.24,
ENG-1759510506319-860,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,KUP,,Renovation of Jawan toilet block near Gen Room of 27 Bn BSF (Now 89 Bn BSF) under SHQ BSF Kupwara  ,Dept, 3466-70 dated 15/11/2023,2.55,157 dated 20/11/2023,25.01.24,19.03.24,20.03.24,,06.02.24,,M/s N A Sons,100,2.48,0,2.48,97.25,Work completed,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,20.07.24,
ENG-1759510506319-861,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,KUP,,Repair and maintenance of SO’s & OR’s bath rooms of 57 Bn BSF under SHQ BSF Kupwara  ,Dept,3411-15 dated 15/11/2023,1.17,160 dated 20/11/2023,13.03.24,12.04.24,29.04.24,,12.07.24,,M/s AB Ahmed Mir,100,1.22,0,1.22,104.27,Work completed,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,08.07.24,
ENG-1759510506319-862,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,KUP,,Improvement of toilet block of communication complex of 140 Bn BSF under SHQ BSF Kupwara  ,Dept,3406-10 dated 15/11/2023,1.59,161 dated 20/11/2023,25.01.24,16.03.24,18.03.24,,05.01.24,,M/s Rohan Const,100,1.62,0,1.62,101.89,Work completed,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,06.06.24,
ENG-1759510506319-863,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,BDR,,Construction of toilet block at office complex area under SHQ BSF Bandipur ,Dept,3438-41 dated 15/11/2023,4.79,08 dtd 06.12.2023,01.03.2024,18.07.24,29.08.24,,28.12.24,,M/s Zahoor Ahmd Shah,100,1.78,2.82,4.6,96.03,Work completed,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,,
ENG-1759510506319-864,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,BDR,,Procurement of mobile containers 31 Nos (25 Nos + 06 Nos) for solid waste management at BSF Campuses under SHQ BSF Bandipur  ,Dept,3442-45 dated 15/11/2023,4.96,07 dtd 06.12.2023,02.01.24,02.01.24,02.01.24,,17.02.24,,M/s New Firdos Enteprises,100,4.8,0,4.8,96.77,Supply completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,17.02.24,
ENG-1759510506319-865,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,BDR,,Procurement of material for maintenance of existing sanitary infrastructure at BSF campus Bandipur under SHQ BSF Bandipur  ,Dept,3446-49 dated 15/11/2023,5,09 dtd 06.12.2023,02.01.24,27.02.24,27.02.24,,12.03.24,,M/s Zahoor Ahmd Shah,100,4.79,0,4.79,95.8,Supply completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,12.03.24,
ENG-1759510506319-866,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,BDR,,Repair & maintenance of main water supply pipe line from Arin village river to water point of BSF Campus Bandipur under SHQ BSF Bandipur  ,Dept,3434-37 dated 15/11/2023,9.6,45 dated 20/11/2023,23/11/2023,05.07.24,08.07.24,,07.12.24,,M/s Baba Construction& Sons,100,0,10.54,10.54,109.79,Work completed and  bill submitted to Acctts Branch. ,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,,
ENG-1759510506319-867,SAP 2023-24 PH-I,SAP(BS),Umbrella 2021-26,SAP 23-24 Ph-I,Kashmir,BLA,,Procurement of 15 Nos mobile dustbin container of capacity 240 Ltrs for SHQ BSF Baramulla  ,Dept,3476-79 dated 15/11/2023,0.98,39 dtd 31.10.2023,04.12.2023,24.05.24,24.05.24,,08.06.24,,M/s Om Enterprise,100,0.46,0,0.46,46.94,Supply completed.,2025-10-03T16:55:06.393Z,2025-10-03T16:55:06.393Z,22.06.24,
